7 7 
0 0 2.97887
0 1 3.29238
0 2 3.50024
0 3 3.43863
0 4 3.17162
0 5 2.82848
0 6 2.57565
1 0 2.9677
1 1 3.5676
1 2 3.90497
1 3 3.77949
1 4 3.29418
1 5 2.68257
1 6 2.19995
2 0 2.98634
2 1 3.5737
2 2 3.89092
2 3 3.75675
2 4 3.27829
2 5 2.66569
2 6 2.20287
3 0 3.01939
3 1 3.29857
3 2 3.4215
3 3 3.33166
3 4 3.12826
3 5 2.81074
3 6 2.60939
4 0 3.0196
4 1 2.8549
4 2 2.76266
4 3 2.793
4 4 2.92218
4 5 3.07573
4 6 3.2075
5 0 3.02469
5 1 2.53018
5 2 2.2264
5 3 2.32983
5 4 2.74447
5 5 2.88103
5 6 3.67591
6 0 3.01916
6 1 2.29619
6 2 2.05086
6 3 2.19015
6 4 2.6936
6 5 3.25122
6 6 3.84358
